city,company_name,country,governate,location,mode,name,type,url
Qantara Gharb,DNM Textile,Egypt,Ismailia,"Qantara Gharb, Ismailia, Egypt",on-site,it engineer - ismailia,full time,https://wuzzuf.net/jobs/p/SnDtvkJQgmB3-IT-Engineer---Ismailia-DNM-Textile-Ismailia-Egypt
,scandiweb,Egypt,Alexandria,"Alexandria, Egypt",remote,junior project manager for ecommerce projects,full time,https://wuzzuf.net/jobs/p/3Cce7bGbN121-Junior-Project-Manager-for-eCommerce-projects-scandiweb-Alexandria-Egypt
,scandiweb,Egypt,Alexandria,"Alexandria, Egypt",remote,junior full-stack developer (react.js + php)/alexandria,full time,https://wuzzuf.net/jobs/p/HsiT0IDu00G9-Junior-Full-stack-Developer-Reactjs-PHPAlexandria-scandiweb-Alexandria-Egypt
,scandiweb,Egypt,Alexandria,"Alexandria, Egypt",remote,junior full-stack developer (react.js + php),full time,https://wuzzuf.net/jobs/p/arD9o9QmZJ4w-Junior-Full-stack-Developer-Reactjs-PHP-scandiweb-Alexandria-Egypt
Obour City,GLC Paints,Egypt,Cairo,"Obour City, Cairo, Egypt",on-site,technical support specialist,full time,https://wuzzuf.net/jobs/p/X9nNqm0nXp2Z-Technical-Support-Specialist-GLC-Paints-Cairo-Egypt
New Cairo,2s Home Wear,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,odoo developer,full time,https://wuzzuf.net/jobs/p/4qOywM38UkzU-Odoo-Developer-2s-Home-Wear-Cairo-Egypt
Maadi,Kayfa,Egypt,Cairo,"Maadi, Cairo, Egypt",hybrid,business central 365 professional,full time,https://wuzzuf.net/jobs/p/tl9U0lTxY9BO-Business-Central-365-Professional-Kayfa-Cairo-Egypt
Maadi,Xceed Contact Center,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,erp system analyst,full time,https://wuzzuf.net/jobs/p/SSzvbdDb3mpb-ERP-System-Analyst-Xceed-Contact-Center-Cairo-Egypt
San Stefano,Procrew,Egypt,Alexandria,"San Stefano, Alexandria, Egypt",on-site,junior tester,internship,https://wuzzuf.net/internship/8lAzrs6cO6ww-Junior-Tester-Procrew-Alexandria-Egypt
,RMG,Egypt,Cairo,"Cairo, Egypt",hybrid,senior ai-integrated web applications developer,full time,https://wuzzuf.net/jobs/p/4ejai4wwJTsT-Senior-AI-Integrated-Web-Applications-Developer-RMG-Cairo-Egypt
,RMG,Egypt,Cairo,"Cairo, Egypt",hybrid,senior ai engineer,full time,https://wuzzuf.net/jobs/p/YqALuLpVSgcA-Senior-AI-Engineer-RMG-Cairo-Egypt
Basatin,Invictux,Egypt,Cairo,"Basatin, Cairo, Egypt",on-site,senior technical services engineer,full time,https://wuzzuf.net/jobs/p/tn9tckcmMDy1-Senior-Technical-Services-Engineer-Invictux-Cairo-Egypt
Nasr City,FirstTech,Egypt,Cairo,"Nasr City, Cairo, Egypt",hybrid,senior front end developer,full time,https://wuzzuf.net/jobs/p/CU3hTLMdP2Tu-Senior-Front-End-Developer-FirstTech-Cairo-Egypt
Giza,Samcrete Engineers & contractors,Egypt,Giza,"Giza, Giza, Egypt",on-site,itc engineer,full time,https://wuzzuf.net/jobs/p/Zy5iqjxWiuAm-ITC-Engineer-Samcrete-Engineers-contractors-Giza-Egypt
,GET Group- Egypt,Egypt,Cairo,"Cairo, Egypt",hybrid,senior application support engineer,full time,https://wuzzuf.net/jobs/p/3lTPykXUvf6A-Senior-Application-Support-Engineer-GET-Group--Egypt-Cairo-Egypt
,MOBILY INFOTECH LTD INDIA,Egypt,Cairo,"Cairo, Egypt",hybrid,siebel developer,full time,https://wuzzuf.net/jobs/p/2Qa2zw6SYiUk-Siebel-Developer-MOBILY-INFOTECH-LTD-INDIA-Cairo-Egypt
,Codereels,Egypt,Cairo,"Cairo, Egypt",remote,python/django developer,freelance / project,https://wuzzuf.net/jobs/p/BDVtFnK7v6TM-PythonDjango-Developer-Codereels-Cairo-Egypt
Sheikh Zayed,Confidential,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",on-site,software account manager,full time,https://wuzzuf.net/jobs/p/M8mb6XCt25dm-Software-Account-Manager-Giza-Egypt
Maadi,Afaqy,Egypt,Cairo,"Maadi, Cairo, Egypt",hybrid,python developer,full time,https://wuzzuf.net/jobs/p/ZB311hI2TDVd-Python-Developer-Afaqy-Cairo-Egypt
Sheikh Zayed,Seoudi Supermarket,Egypt,Giza,"Sheikh Zayed, Giza, Egypt",on-site,network security administrator,full time,https://wuzzuf.net/jobs/p/gfbu5BEArLJa-Network-Security-Administrator-Seoudi-Supermarket-Giza-Egypt
Nasr City,Our Education,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,senior react native developer,full time,https://wuzzuf.net/jobs/p/ibgktFOsPkzC-Senior-React-Native-Developer-Our-Education-Cairo-Egypt
Maadi,Safa Soft,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,data engineer,full time,https://wuzzuf.net/jobs/p/l5gsPgUkjR72-Data-Engineer-Safa-Soft-Cairo-Egypt
,Safa Soft,Egypt,Cairo,"Cairo, Egypt",on-site,bi analyst,full time,https://wuzzuf.net/jobs/p/1edCwq5QwhAm-BI-Analyst-Safa-Soft-Cairo-Egypt
Maadi,Salem Ventures,Egypt,Cairo,"Maadi, Cairo, Egypt",on-site,full stack developer,full time,https://wuzzuf.net/jobs/p/hBXO0ABKeajI-Full-Stack-Developer-Salem-Ventures-Cairo-Egypt
Nasr City,National Technology,Egypt,Cairo,"Nasr City, Cairo, Egypt",hybrid,oracle apex developer,full time,https://wuzzuf.net/jobs/p/rXDxRrPv3pTv-Oracle-Apex-Developer-National-Technology-Cairo-Egypt
Nasr City,IT Pillars,Egypt,Cairo,"Nasr City, Cairo, Egypt",on-site,it technical support,full time,https://wuzzuf.net/jobs/p/HH4V8kqCPbcr-IT-Technical-Support-IT-Pillars-Cairo-Egypt
New Cairo,Myco Arabia,Egypt,Cairo,"New Cairo, Cairo, Egypt",on-site,ui/ux specialist,full time,https://wuzzuf.net/jobs/p/1WcKjnCtg4a0-UIUX-Specialist-Myco-Arabia-Cairo-Egypt
,Visionare,Egypt,Alexandria,"Alexandria, Egypt",remote,front-end developer intern,internship,https://wuzzuf.net/internship/ogbUsSt61PLN-Front-end-Developer-Intern-Visionare-Alexandria-Egypt
Sheraton,Egabi FSI,Egypt,Cairo,"Sheraton, Cairo, Egypt",on-site,senior frontend developer- angular,full time,https://wuzzuf.net/jobs/p/Z5V5EEBjFwm0-Senior-Frontend-Developer--Angular-Egabi-FSI-Cairo-Egypt
