city,company_name,country,governate,location,mode,name,type,url
system administrator,Confidential,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/c36902wpA9Uv-System-Administrator-Cairo-Egypt
it manager,JAC,full time,on-site,"Badr City, Cairo, Egypt",Badr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/QTUBte2ALIg1-IT-Manager-JAC-Cairo-Egypt
it specialist,Nasr City For Trading and Contracting (NCTC),full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/1MJsqTO3yDoK-IT-Specialist-Nasr-City-For-Trading-and-Contracting-NCTC-Cairo-Egypt
cloud infrastructure engineer,Cloud Arch Technologies,part time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/14VXJvDI4ySU-Cloud-Infrastructure-Engineer-Cloud-Arch-Technologies-Cairo-Egypt
android developer,Cloud Arch Technologies,part time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/OdYfiVjVbS13-Android-Developer-Cloud-Arch-Technologies-Cairo-Egypt
ios developer,Cloud Arch Technologies,part time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/b9ww6KuZrvsl-iOS-Developer-Cloud-Arch-Technologies-Cairo-Egypt
software engineer,1D Consulting,full time,on-site,"Sheikh Zayed, Giza, Egypt",Sheikh Zayed,Giza,Egypt,https://wuzzuf.net/jobs/p/HyXm9pmO3IHc-Software-Engineer-1D-Consulting-Giza-Egypt
it specialist,Alexandria Business Association,full time,on-site,"Attarin, Alexandria, Egypt",Attarin,Alexandria,Egypt,https://wuzzuf.net/jobs/p/2Vwmq3UjQNk1-IT-Specialist-Alexandria-Business-Association-Alexandria-Egypt
full-stack developer,Viavi Solutions,full time,hybrid,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/B7eeNqYx0UMx-Full-Stack-Developer-Viavi-Solutions-Cairo-Egypt
oracle apex developer,(MSA) October University,full time,on-site,"6th of October, Giza, Egypt",6th of October,Giza,Egypt,https://wuzzuf.net/jobs/p/jDrKEVGHLZkp-Oracle-Apex-Developer-MSA-October-University-Giza-Egypt
senior java developer,Confidential,full time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/Vea56D33K8bO-Senior-Java-Developer-Cairo-Egypt
java full-stack developer,Confidential,full time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/1sBqz5line2H-Java-Full-Stack-Developer-Cairo-Egypt
product designer,Testing UX,internship,hybrid,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/internship/IYObocH3XOXc-Product-Designer-Testing-UX-Cairo-Egypt
senior full stack developer (.net core & angular),Confidential,full time,hybrid,"6th of October, Giza, Egypt",6th of October,Giza,Egypt,https://wuzzuf.net/jobs/p/21ff1wNhSBDC-Senior-Full-Stack-Developer-NET-Core-Angular-Giza-Egypt
senior python developer (django),TechJump,full time,hybrid,"Alexandria, Egypt",,Alexandria,Egypt,https://wuzzuf.net/jobs/p/jKZmIb1pN8bX-Senior-Python-Developer-Django-TechJump-Alexandria-Egypt
sharepoint developer,Global Brands,full time,hybrid,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/kMx0eZTzt4UC-SharePoint-Developer-Global-Brands-Cairo-Egypt
front end developer,Confidential,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/cmmAMJmIJkPT-Front-End-Developer-Cairo-Egypt
senior data analyst & machine learning specialist (full time remote),HIGHBASE TRADING W.L.L,full time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/SqMEOhLiBPcT-Senior-Data-Analyst-Machine-Learning-Specialist-Full-time-Remote-HIGHBASE-TRADING-W-L-L-Cairo-Egypt
sales account manager,CompuWorld Systems,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/WqYT70OKyNka-Sales-Account-Manager-CompuWorld-Systems-Cairo-Egypt
microsoft dynamics ax functional ( financial module ),Al Watania Poultry,full time,on-site,"Smart Village, Giza, Egypt",Smart Village,Giza,Egypt,https://wuzzuf.net/jobs/p/BsoGNJVIXLML-Microsoft-Dynamics-AX-Functional-Financial-module-Al-Watania-Poultry-Giza-Egypt
odoo implementor,Confidential,full time,on-site,"Giza, Egypt",,Giza,Egypt,https://wuzzuf.net/jobs/p/4L1T4d3E0wFk-Odoo-Implementor-Giza-Egypt
presales manager,El Delta Electronic Systems,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/ixXCpeK62UJV-Presales-Manager-El-Delta-Electronic-Systems-Cairo-Egypt
senior .net developer,National Technology,full time,hybrid,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/nXWfYveFcNql-Senior-Net-Developer-National-Technology-Cairo-Egypt
advanced . net developer,National Technology,full time,hybrid,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/fKQSzadBXGYS-Advanced-Net-Developer-National-Technology-Cairo-Egypt
sales manager,El Delta Electronic Systems,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/crKpdJxKgSse-Sales-Manager-El-Delta-Electronic-Systems-Cairo-Egypt
devops engineer,qTech.,full time,on-site,"New Nozha, Cairo, Egypt",New Nozha,Cairo,Egypt,https://wuzzuf.net/jobs/p/I5nsCOuGpfi2-Devops-Engineer-qTech-Cairo-Egypt
ai specialist,LINK Development,full time,hybrid,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/3rg82U4xRJsY-AI-Specialist-LINK-Development-Cairo-Egypt
cloud operations team lead,El Delta Electronic Systems,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/7OHrkWjNMsY3-Cloud-operations-Team-Lead-El-Delta-Electronic-Systems-Cairo-Egypt
frontend react,LINK TSP,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/py0zPttgNuJV-Frontend-React-LINK-TSP-Cairo-Egypt
odoo functional consultant,Ryze Clubs,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/RiKFFP8kpHe9-Odoo-Functional-Consultant-Ryze-Clubs-Cairo-Egypt
oracle netsuite consultant,BTC-Egypt Gold,full time,on-site,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/jobs/p/cvbLHfvZve6b-Oracle-NetSuite-Consultant-BTC-Egypt-Gold-Cairo-Egypt
erp functional consultant,Ultimate Solutions Egypt,full time,on-site,"Sheikh Zayed, Giza, Egypt",Sheikh Zayed,Giza,Egypt,https://wuzzuf.net/jobs/p/wXZJ3WcjROgG-ERP-Functional-Consultant-Ultimate-Solutions-Egypt-Giza-Egypt
senior erp system expert,Transmar International,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/zSZGuovRqLLA-Senior-ERP-System-Expert-Transmar-International-Cairo-Egypt
senior oracle apex developer,Confidential,full time,hybrid,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/eqfMpdvokwDc-Senior-Oracle-APEX-Developer-Cairo-Egypt
senior software quality control engineer,eVision,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/FgDX8SulQStw-Senior-Software-Quality-Control-Engineer-eVision-Cairo-Egypt
senior software engineer,eVision,full time,hybrid,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/XDr9y48nR5Kz-Senior-Software-Engineer-eVision-Cairo-Egypt
technical support / application support engineer,eVision,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/lqxBnWOf19M1-Technical-Support-Application-Support-Engineer-eVision-Cairo-Egypt
senior front end developer,Advertizer,full time,on-site,"Tanta, Gharbia, Egypt",Tanta,Gharbia,Egypt,https://wuzzuf.net/jobs/p/mwVJjBZIJgnX-Senior-Front-End-Developer-Advertizer-Gharbia-Egypt
odoo developer,Al Hayat Medical Clinics,full time,on-site,"Mokattam, Cairo, Egypt",Mokattam,Cairo,Egypt,https://wuzzuf.net/jobs/p/t1yq1xo1tGjv-Odoo-Developer-Al-Hayat-Medical-Clinics-Cairo-Egypt
unity game developer,Confidential,full time,remote,"Sheikh Zayed, Giza, Egypt",Sheikh Zayed,Giza,Egypt,https://wuzzuf.net/jobs/p/qqEeoatWGP3o-Unity-Game-Developer-Giza-Egypt
game artist,Confidential,full time,remote,"Sheikh Zayed, Giza, Egypt",Sheikh Zayed,Giza,Egypt,https://wuzzuf.net/jobs/p/y5TNrg6y4anB-Game-Artist-Giza-Egypt
senior zoho developer,Confidential,full time,hybrid,"6th of October, Giza, Egypt",6th of October,Giza,Egypt,https://wuzzuf.net/jobs/p/qKpPENxZHIr3-Senior-ZOHO-Developer-Giza-Egypt
project coordinator (pmo),Atco Pharma For Pharmaceutical Industries,full time,on-site,"Monufya, Egypt",,Monufya,Egypt,https://wuzzuf.net/jobs/p/EH9NdcsEq1Mf-Project-Coordinator-PMO-Atco-Pharma-For-Pharmaceutical-Industries-Monufya-Egypt
senior full stack developer,Biddex,full time,on-site,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/jobs/p/OELcS49HLFbV-Senior-Full-Stack-Developer-Biddex-Cairo-Egypt
senior microsoft sql server dba,Al Ahly capital holding - Al Ahly Tamkeen,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/jbJkyQCnA2Po-Senior-Microsoft-SQL-Server-DBA-Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Cairo-Egypt
"junior back-end developer (.net 8, postgresql, abp framework)",Advanced Solutions,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/eex5NItM4mxF-Junior-Back-End-Developer-NET-8-PostgreSQL-ABP-Framework-Advanced-Solutions-Cairo-Egypt
marketing supervisor,Paymint,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/jwAWdHnMKIgH-Marketing-Supervisor-Paymint-Cairo-Egypt
senior frontend developer,Tenjaz,full time,hybrid,"Sheraton, Cairo, Egypt",Sheraton,Cairo,Egypt,https://wuzzuf.net/jobs/p/L2dVNrVLorhp-Senior-Frontend-Developer-Tenjaz-Cairo-Egypt
senior backend developer,Tenjaz,full time,hybrid,"Sheraton, Cairo, Egypt",Sheraton,Cairo,Egypt,https://wuzzuf.net/jobs/p/rVqOl1UwYje8-Senior-Backend-Developer-Tenjaz-Cairo-Egypt
erp application manager,K Line Europe,full time,hybrid,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/G8zRy3uKwAKG-ERP-Application-Manager-K-Line-Europe-Cairo-Egypt
database administrator - sql & mongo db,Nano Health Technology,full time,hybrid,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/u37vG8uS4hcF-Database-Administrator---SQL-Mongo-DB-Nano-Health-Technology-Cairo-Egypt
kubernetes infrastructure engineer,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/vl7E16OuVhAQ-Kubernetes-Infrastructure-Engineer-Nano-Health-Technology-Cairo-Egypt
sales team leader - real estate (new cairo),ESC,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/AJrtVTeFAWXP-Sales-Team-Leader---Real-Estate-New-Cairo-ESC-Cairo-Egypt
react native developer,Block Gemini,full time,on-site,"Mohandessin, Giza, Egypt",Mohandessin,Giza,Egypt,https://wuzzuf.net/jobs/p/3t8O63WjKBr7-React-Native-Developer-Block-Gemini-Giza-Egypt
php laravel - full stack developer,Namaa IT,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/rvtQ7syoZ6En-PHP-Laravel---Full-Stack-Developer-Namaa-IT-Cairo-Egypt
senior unreal artist,Creative Motion,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/VqUVEqoXkeCr-Senior-Unreal-Artist-Creative-Motion-Cairo-Egypt
senior ux designer,LINK Development,full time,hybrid,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/nCQIrQRlbw3X-Senior-UX-Designer-LINK-Development-Cairo-Egypt
-php developer,Confidential,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/GNUcXig5Z7p3--PHP-Developer-Cairo-Egypt
mid-senior ui ux designer,Anecdote agency,full time,hybrid,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/u8nQpNuD4gJC-Mid-Senior-UI-UX-Designer-Anecdote-agency-Cairo-Egypt
it manager,Confidential,full time,on-site,"Abu Rawash, Giza, Egypt",Abu Rawash,Giza,Egypt,https://wuzzuf.net/jobs/p/LBv9fRXalM2D-IT-Manager-Giza-Egypt
senior software quality assurance specialist (on-site),Confidential,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/xB7gubpxYYAf-Senior-Software-Quality-Assurance-Specialist-On-site-Cairo-Egypt
flutter developer,Mirrorful,full time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/bX9v1vKY6Qll-Flutter-Developer-Mirrorful-Cairo-Egypt
senior ui/ux,Biddex,full time,on-site,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/jobs/p/LH0T5WGX3PQH-Senior-UiUX-Biddex-Cairo-Egypt
technical development intern – software engineering,PMaestro,internship,remote,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/internship/IX9zT4MfOGDK-Technical-Development-Intern-–-Software-Engineering-PMaestro-Cairo-Egypt
senior android developer,Madar Soft,full time,remote,"Fleming, Alexandria, Egypt",Fleming,Alexandria,Egypt,https://wuzzuf.net/jobs/p/5vP9KPVZepDJ-Senior-Android-Developer-Madar-Soft-Alexandria-Egypt
aws cloud administrator,Citylogix ME,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/XgaTEqFbNrDY-AWS-Cloud-Administrator-Citylogix-ME-Cairo-Egypt
release and deployment engineer,Modulus Investments Group,full time,on-site,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/jobs/p/sIIy7mGHU8CA-Release-and-Deployment-Engineer-Modulus-Investments-Group-Cairo-Egypt
mid backend php,Digitalmate,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/vOdO3Asx38cZ-Mid-Backend-PHP-Digitalmate-Cairo-Egypt
senior sharepoint developer,Valleysoft | Center of Excellence,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/BdLDE6NROPdy-Senior-SharePoint-Developer-Valleysoft-Center-of-Excellence-Cairo-Egypt
it specialist,Farm Fresh,full time,on-site,"Alexandria, Egypt",,Alexandria,Egypt,https://wuzzuf.net/jobs/p/0XeMhIWmbM3N-IT-Specialist-Farm-Fresh-Alexandria-Egypt
senior .net developer- desktop application,TAB ERP Solutions,full time,remote,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/TIkHolnCRYbx-Senior-Net-Developer--Desktop-Application-TAB-ERP-Solutions-Cairo-Egypt
ui ux designer,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/GzqlUyH0h8Jm-UI-UX-Designer-Nano-Health-Technology-Cairo-Egypt
digital marketing specialist,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/e3VasnvPNiBO-Digital-Marketing-Specialist-Nano-Health-Technology-Cairo-Egypt
sales account manager (saas),Confidential,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/zUgLHLFJlKJd-Sales-Account-Manager-SaaS-Cairo-Egypt
flutter team leader,Crystal Mind,full time,on-site,"Nasr City, Cairo, Egypt",Nasr City,Cairo,Egypt,https://wuzzuf.net/jobs/p/6d2BbWVl38Wc-Flutter-Team-Leader-Crystal-Mind-Cairo-Egypt
presales manager,MOBILY INFOTECH LTD INDIA,full time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/IS8HAYmNfWNe-Presales-Manager-MOBILY-INFOTECH-LTD-INDIA-Cairo-Egypt
project manager,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/eSxoOKtlZYHM-Project-Manager-Nano-Health-Technology-Cairo-Egypt
quality assurance specialist,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/4e2KT8A5fm8R-Quality-Assurance-Specialist-Nano-Health-Technology-Cairo-Egypt
front end developer - angular,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/jiORTN6fkNqM-Front-End-Developer---Angular-Nano-Health-Technology-Cairo-Egypt
pharmacist,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/uvaNWqG574rO-Pharmacist-Nano-Health-Technology-Cairo-Egypt
sales account manager,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/k3MklrLoWsiw-Sales-Account-Manager-Nano-Health-Technology-Cairo-Egypt
lead generation specialist,Nahr Development,full time,remote,"Mokattam, Cairo, Egypt",Mokattam,Cairo,Egypt,https://wuzzuf.net/jobs/p/VJdsHz6PgWKR-Lead-Generation-Specialist-Nahr-Development-Cairo-Egypt
it help desk,Dough and More Food Industries,full time,on-site,"6th of October, Giza, Egypt",6th of October,Giza,Egypt,https://wuzzuf.net/jobs/p/dweLbBQZQTOj-IT-Help-Desk-Dough-and-More-Food-Industries-Giza-Egypt
business analyst,Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/R5xJ4GRfkJpX-Business-Analyst-Nano-Health-Technology-Cairo-Egypt
full stack developer (.net & angular),Nano Health Technology,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/T4YGZY00blBH-Full-Stack-Developer-Net-Angular-Nano-Health-Technology-Cairo-Egypt
call center agent,Confidential,full time,on-site,"6th of October, Giza, Egypt",6th of October,Giza,Egypt,https://wuzzuf.net/jobs/p/mb0dHdYMIeld-Call-Center-Agent-Giza-Egypt
erp functional executive,IKK GROUP (KCG -ABUILD),full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/pq1BdJMUQohV-ERP-FUNCTIONAL-EXECUTIVE-IKK-GROUP-KCG--ABUILD-Cairo-Egypt
it specialist,Value Tech,full time,on-site,"6th of October, Giza, Egypt",6th of October,Giza,Egypt,https://wuzzuf.net/jobs/p/6onMPM3AEr6x-IT-Specialist-Value-Tech-Giza-Egypt
senior user acceptance tester,Etisalat Egypt,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/nZsE75ABGto9-Senior-User-Acceptance-Tester-Etisalat-Egypt-Cairo-Egypt
full time senior vb6 developer,Sinmar Soft,full time,on-site,"Nozha, Cairo, Egypt",Nozha,Cairo,Egypt,https://wuzzuf.net/jobs/p/f1jTSTt0FE3V-Full-time-Senior-VB6-Developer-Sinmar-Soft-Cairo-Egypt
backend developer,Kamelizer,full time,hybrid,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/C2qi9WzzVEa1-Backend-Developer-Kamelizer-Cairo-Egypt
it specialist,Gila Electric,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/62paNulNdeLY-IT-Specialist-Gila-Electric-Cairo-Egypt
business analyst,Advansys Telecom,full time,on-site,"6th of October, Giza, Egypt",6th of October,Giza,Egypt,https://wuzzuf.net/jobs/p/J4pH0aP2TpXo-Business-Analyst-Advansys-Telecom-Giza-Egypt
embedded software developer,InfoPeak Software,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/yzLbAG1s3SHf-Embedded-Software-Developer-InfoPeak-Software-Cairo-Egypt
sr. system administrator,Confidential,full time,on-site,"Sheikh Zayed, Giza, Egypt",Sheikh Zayed,Giza,Egypt,https://wuzzuf.net/jobs/p/ILbvAQhVcjSK-Sr-System-Administrator-Giza-Egypt
software project manager,Confidential,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/LDuVOtJ6lol9-Software-Project-Manager-Cairo-Egypt
management consultant,Confidential,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/a7AaGzqpsBTC-Management-Consultant-Cairo-Egypt
project manager,Nasser for Training,full time,on-site,"Faisal, Giza, Egypt",Faisal,Giza,Egypt,https://wuzzuf.net/jobs/p/EtaEtTK6hXqg-Project-Manager-Nasser-for-Training-Giza-Egypt
it help desk,Cleopatra Hospitals Group,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/SimquclSGOqc-IT-Help-Desk-Cleopatra-Hospitals-Group-Cairo-Egypt
cloud infrastructure engineer,EXALT Technologies,full time,hybrid,"Sheraton, Cairo, Egypt",Sheraton,Cairo,Egypt,https://wuzzuf.net/jobs/p/9fGUKEKalEX6-Cloud-Infrastructure-Engineer-EXALT-Technologies-Cairo-Egypt
ci/cd engineer,EXALT Technologies,full time,hybrid,"Sheraton, Cairo, Egypt",Sheraton,Cairo,Egypt,https://wuzzuf.net/jobs/p/RR9XRFd2dcGZ-CICD-Engineer-EXALT-Technologies-Cairo-Egypt
full stack developer,Confidential,full time,remote,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/IZvD2PnnaTLM-Full-Stack-Developer-Cairo-Egypt
software quality engineer (mid-senior),Anecdote agency,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/ZY2xHGfmKKjB-Software-Quality-Engineer-Mid-Senior-Anecdote-agency-Cairo-Egypt
senior mobile developer (flutter),Anecdote agency,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/jJXiKGducNk2-Senior-Mobile-Developer-Flutter-Anecdote-agency-Cairo-Egypt
user acceptance testing analyst,Etisalat Egypt,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/5IxW3evEr27F-User-Acceptance-Testing-Analyst-Etisalat-Egypt-Cairo-Egypt
it crm specialist,Clinizone,full time,on-site,"New Cairo, Cairo, Egypt",New Cairo,Cairo,Egypt,https://wuzzuf.net/jobs/p/5FaCQFiANmAl-IT-CRM-Specialist-Clinizone-Cairo-Egypt
information security specialist,Xceed Contact Center,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/7jjnLxrsAB6Q-Information-Security-Specialist-Xceed-Contact-Center-Cairo-Egypt
"online front-end developer (ui/ux design, js, shopify)",Maison de Maa,full time,remote,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/jobs/p/vLbB06hpqFtF-Online-Front-End-Developer-UIUX-Design-JS-Shopify-Maison-de-Maa-Cairo-Egypt
technical support specialist,Maison de Maa,full time,on-site,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/jobs/p/T4cSCNAIBFa4-Technical-Support-Specialist-Maison-de-Maa-Cairo-Egypt
data annotator,oworkers,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/CQmiWjwW3hfy-Data-Annotator-oworkers-Cairo-Egypt
sap abap developer,QiCard,part time,remote,"6th of October, Giza, Egypt",6th of October,Giza,Egypt,https://wuzzuf.net/jobs/p/Pznt9cvGafom-SAP-ABAP-Developer-QiCard-Giza-Egypt
database administrator,QiCard,full time,hybrid,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/WHfVlgtIaYI8-Database-Administrator-QiCard-Cairo-Egypt
digital product manager,Nahdet Misr Publishing Group,full time,on-site,"Mohandessin, Giza, Egypt",Mohandessin,Giza,Egypt,https://wuzzuf.net/jobs/p/84DbcA8rG4qn-Digital-Product-Manager-Nahdet-Misr-Publishing-Group-Giza-Egypt
system operations and testing specialist,Prismatecs,full time,hybrid,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/jobs/p/H9nhLqyF1zLt-System-Operations-and-Testing-Specialist-Prismatecs-Cairo-Egypt
front end developer,Erpplus5,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/UwLp8qRzD9DW-Front-End-Developer-Erpplus5-Cairo-Egypt
application team leader,Confidential,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/Wz7pjvBakZMP-Application-Team-Leader-Cairo-Egypt
flutter mobile developer,Erpplus5,full time,on-site,"Maadi, Cairo, Egypt",Maadi,Cairo,Egypt,https://wuzzuf.net/jobs/p/ved2kgRakq4w-Flutter-Mobile-Developer-Erpplus5-Cairo-Egypt
cyber security specialist,Enigma Genomics,full time,remote,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/4mrLvS7EfYjM-Cyber-Security-Specialist-Enigma-Genomics-Cairo-Egypt
it sales specialist,Optimum Solutions,full time,on-site,"Cairo, Egypt",,Cairo,Egypt,https://wuzzuf.net/jobs/p/dIaXsnt6aAra-IT-Sales-Specialist-Optimum-Solutions-Cairo-Egypt
it systems specialist,Mobility Pro DMCC,full time,on-site,"Azarita, Alexandria, Egypt",Azarita,Alexandria,Egypt,https://wuzzuf.net/jobs/p/YNUjXyeTcb8Y-IT-Systems-Specialist-Mobility-Pro-DMCC-Alexandria-Egypt
data analyst,Mobility Pro DMCC,full time,on-site,"Azarita, Alexandria, Egypt",Azarita,Alexandria,Egypt,https://wuzzuf.net/jobs/p/MSKFu1ytuKG0-Data-Analyst-Mobility-Pro-DMCC-Alexandria-Egypt
it help desk,Green Liner,full time,on-site,"10th of Ramadan City, Sharqia, Egypt",10th of Ramadan City,Sharqia,Egypt,https://wuzzuf.net/jobs/p/R8y41yviDsVM-IT-Help-Desk-Green-Liner-Sharqia-Egypt
servicenow developer,Ejada,full time,on-site,"Heliopolis, Cairo, Egypt",Heliopolis,Cairo,Egypt,https://wuzzuf.net/jobs/p/9hBhVCLEulaI-ServiceNow-Developer-Ejada-Cairo-Egypt
